Division,Category,Entity
Divisions and subsidiaries,Information technology & engineering,Tata Consultancy Services
Divisions and subsidiaries,Information technology & engineering,Tata Elxsi
Divisions and subsidiaries,Information technology & engineering,Tata Research Development and Design Centre
Divisions and subsidiaries,Information technology & engineering,Tata Technologies
Divisions and subsidiaries,Airlines,Air India Limited
Divisions and subsidiaries,Airlines,Air India
Divisions and subsidiaries,Airlines,Air India Express
Divisions and subsidiaries,Airlines,AIX Connect
Divisions and subsidiaries,Airlines,Vistara (51%)
Divisions and subsidiaries,Steel,Tata Steel
Divisions and subsidiaries,Steel,Tata Steel Europe
Divisions and subsidiaries,Steel,Tata Steel Netherlands
Divisions and subsidiaries,Automotive,Tata Motors
Divisions and subsidiaries,Automotive,Tata Motors Cars
Divisions and subsidiaries,Automotive,Jaguar Land Rover Daimler Company
Divisions and subsidiaries,Automotive,Lanchester Motor Company
Divisions and subsidiaries,Automotive,Chery Jaguar Land Rover
Divisions and subsidiaries,Automotive,Tata Daewoo
Divisions and subsidiaries,Automotive,Tata Hispano
Divisions and subsidiaries,Automotive,Tata Hitachi Construction Machinery
Divisions and subsidiaries,Consumer & retail,Tata Consumer Products
Consumer & retail,Tata Consumer Products,Eight O'Clock Coffee
Consumer & retail,Tata Consumer Products,Good Earth Tea
Consumer & retail,Tata Consumer Products,Kanan Devan
Consumer & retail,Tata Consumer Products,Tata Salt
Consumer & retail,Tata Consumer Products,Tetley
Consumer & retail,Tata Chemicals,Tata Chemicals Europe British Salt
Consumer & retail,Tata Chemicals,Tata Chemicals Magadi
Consumer & retail,Tata Chemicals,Tata Swach
Consumer & retail,Trent,Landmark
Consumer & retail,Trent,Westside
Consumer & retail,Titan Company,Tanishq
Consumer & retail,Titan Company,Fastrack
Consumer & retail,Titan Company,CaratLane
Consumer & retail,Tata Digital,Cromā
Consumer & retail,Tata Digital,BigBasket
Consumer & retail,Tata Digital,Tata 1mg
Consumer & retail,Tata Digital,Tata CLiQ
Consumer & retail,Tata Digital,Tata Neu
Consumer & retail,Voltas,Voltas Beko
Infrastructure,Tata Power,Mundra UMPP
Infrastructure,Tata Power,Maithon Power
Infrastructure,Tata Power,Tata Power Delhi Distribution Limited
Infrastructure,Tata Power,TP Central Odisha Distribution Limited
Infrastructure,Tata Power,TP Western Odisha Distribution Limited
Infrastructure,Tata Power,North Eastern Electricity Supply Company of Odisha (51%)
Infrastructure,Tata Power,Tata Power Solar
Infrastructure,Tata Power,Tata Power SED
Other,Other,Tata Housing Development Company
Other,Other,Tata Projects
Financial services,Financial services,Tata Capital
Financial services,Financial services,TATA AIG
Aerospace & defence,Aerospace & defence,Tata Advanced Systems
Aerospace & defence,Aerospace & defence,Tata Power SED
Tourism & travel,Tourism & travel,Indian Hotels Company Limited
Tourism & travel,Tourism & travel,Ginger Hotels
Tourism & travel,Tourism & travel,Taj Hotels
Tourism & travel,Tourism & travel,TajAir
Tourism & travel,Tourism & travel,Vivanta
Tourism & travel,Tourism & travel,The Pierre
Tourism & travel,Tourism & travel,The Newbury Boston
Telecom & media,Telecom & media,Tata Communications
Telecom & media,Telecom & media,VSNL International Canada
Telecom & media,Telecom & media,Tata Business Support Services
Telecom & media,Telecom & media,Tata Teleservices
Telecom & media,Telecom & media,Tata Play
Telecom & media,Telecom & media,Tejas Networks
